"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000123500.10",737.859771171583,7.19415615052614,0.475637454040772,15.1252936231331,1.10307532768988e-51,1.89982663688028e-47
"ENSG00000163815.6",645.544943752402,-5.11299470905486,0.369994182454516,-13.8191218984461,1.95439310778261e-43,1.68302562476699e-39
"ENSG00000099953.10",5906.2221449674,5.32988720115017,0.413105701891859,12.9019937917618,4.38600453022863e-38,2.51800520080426e-34
"ENSG00000164530.15",5620.21776969055,-7.55612374236545,0.613267187497925,-12.3210957579416,6.97401828997149e-35,3.00283792520447e-31
"ENSG00000197766.8",7049.90330112561,-4.508824515865,0.368037792312479,-12.250982399212,1.65973090564156e-34,5.71710907757292e-31
"ENSG00000162849.16",842.273667779571,3.19037310984216,0.264537528648681,12.0601909533945,1.71385090051041e-33,4.91960900991513e-30
"ENSG00000126218.12",393.380975465863,-4.00423927124346,0.334611825051262,-11.9668193753464,5.30224790152325e-33,1.3045802229705e-29
"ENSG00000182253.15",45021.4728539672,-6.77689432220428,0.570243956278932,-11.8842019237279,1.42994319422178e-32,3.07848895426022e-29
"ENSG00000068976.14",1230.6233043213,-5.69635980424946,0.481307355547598,-11.8351812798883,2.56788097939585e-32,4.91406823423718e-29
"ENSG00000060718.22",1154.44317434423,6.06477990680682,0.518065102116939,11.7065980356999,1.17916525776549e-31,2.03087632344951e-28
"ENSG00000127528.6",2948.58980916991,-3.33677726188065,0.297962608358812,-11.1986442871464,4.14020726667094e-29,6.48243543217033e-26
"ENSG00000095303.17",17801.0549211873,-5.74141397019718,0.51349087917926,-11.1811410932439,5.04372485651689e-29,7.23900610031587e-26
"ENSG00000181856.15",1372.16886008011,-5.73312607797671,0.513941914939387,-11.1552023902406,6.75389572825166e-29,8.94787277905218e-26
"ENSG00000153446.16",685.060602500201,-4.9652694639535,0.451002916774227,-11.0093954590523,3.44306232345309e-28,4.23570445691661e-25
"ENSG00000172348.15",2613.05597512042,-3.67916312114466,0.335105010872136,-10.9791349033229,4.81512733937292e-28,5.52872921106799e-25
"ENSG00000065325.13",747.413067179281,-6.25369364144767,0.572209115030378,-10.9290353424651,8.37338071913085e-28,8.72133188983093e-25
"ENSG00000172403.11",54002.3564608938,-6.09813929901191,0.55810429066511,-10.9265228757596,8.60840980822887e-28,8.72133188983093e-25
"ENSG00000101605.13",1706.18468275684,-5.321752767806,0.489577182344842,-10.8700996691009,1.60025936509343e-27,1.53118150250023e-24
"ENSG00000128591.16",39892.0582947884,-6.13553839473573,0.565436105095035,-10.8509844692434,1.97288819740362e-27,1.78837123283592e-24
"ENSG00000004776.13",2575.23377057714,-5.89678244798856,0.544229641163026,-10.8350997483104,2.34709479037576e-27,2.02120067873208e-24
