"Ensembl_with_version","Ensembl","PosDegree","NegDegree","TotalDiffDegree","PosRank","NegRank","PolarScore"
"ENSG00000150995.20","ENSG00000150995",0,217,217,487,1,-217
"ENSG00000065600.13","ENSG00000065600",189,5,194,1,355,184
"ENSG00000135842.17","ENSG00000135842",5,184,189,239,5,-179
"ENSG00000068024.17","ENSG00000068024",18,196,214,79,2,-178
"ENSG00000091436.17","ENSG00000091436",16,191,207,94,4,-175
"ENSG00000148411.8","ENSG00000148411",19,193,212,75,3,-174
"ENSG00000163681.16","ENSG00000163681",8,180,188,179,6,-172
"ENSG00000145012.13","ENSG00000145012",1,172,173,370,7,-171
"ENSG00000112320.12","ENSG00000112320",5,166,171,239,11,-161
"ENSG00000112208.11","ENSG00000112208",12,172,184,137,7,-160
"ENSG00000140416.23","ENSG00000140416",13,170,183,125,9,-157
"ENSG00000157570.12","ENSG00000157570",15,166,181,101,11,-151
"ENSG00000232855.7","ENSG00000232855",5,154,159,239,16,-149
"ENSG00000137124.8","ENSG00000137124",16,163,179,94,13,-147
"ENSG00000122786.20","ENSG00000122786",7,151,158,206,17,-144
"ENSG00000149596.7","ENSG00000149596",1,144,145,370,23,-143
"ENSG00000100628.12","ENSG00000100628",3,145,148,282,21,-142
"ENSG00000079308.19","ENSG00000079308",4,141,145,262,27,-137
"ENSG00000131471.7","ENSG00000131471",4,140,144,262,28,-136
"ENSG00000173546.7","ENSG00000173546",25,160,185,53,14,-135
"ENSG00000163017.14","ENSG00000163017",2,137,139,316,35,-135
"ENSG00000150051.14","ENSG00000150051",6,140,146,219,28,-134
"ENSG00000198624.13","ENSG00000198624",5,139,144,239,31,-134
"ENSG00000132840.10","ENSG00000132840",2,135,137,316,38,-133
"ENSG00000168427.9","ENSG00000168427",4,136,140,262,37,-132
"ENSG00000141052.18","ENSG00000141052",1,133,134,370,42,-132
"ENSG00000177469.13","ENSG00000177469",11,142,153,147,25,-131
"ENSG00000166831.9","ENSG00000166831",17,147,164,85,18,-130
"ENSG00000107130.10","ENSG00000107130",41,170,211,22,9,-129
"ENSG00000127951.8","ENSG00000127951",2,129,131,316,44,-127
"ENSG00000104936.19","ENSG00000104936",33,159,192,33,15,-126
"ENSG00000076706.17","ENSG00000076706",23,147,170,59,18,-124
"ENSG00000069535.14","ENSG00000069535",21,145,166,68,21,-124
"ENSG00000197256.11","ENSG00000197256",20,144,164,71,23,-124
"ENSG00000140682.19","ENSG00000140682",18,140,158,79,28,-122
"ENSG00000149591.17","ENSG00000149591",11,132,143,147,43,-121
"ENSG00000141404.17","ENSG00000141404",8,129,137,179,44,-121
"ENSG00000068976.14","ENSG00000068976",5,126,131,239,50,-121
"ENSG00000198947.16","ENSG00000198947",27,147,174,45,18,-120
"ENSG00000134198.10","ENSG00000134198",17,137,154,85,35,-120
"ENSG00000182253.15","ENSG00000182253",1,120,121,370,55,-119
"ENSG00000196924.19","ENSG00000196924",21,139,160,68,31,-118
"ENSG00000148516.22","ENSG00000148516",5,123,128,239,53,-118
"ENSG00000075073.15","ENSG00000075073",0,118,118,487,59,-118
"ENSG00000166165.13","ENSG00000166165",23,139,162,59,31,-116
"ENSG00000229619.4","ENSG00000229619",11,127,138,147,48,-116
"ENSG00000156113.24","ENSG00000156113",1,117,118,370,62,-116
"ENSG00000112276.14","ENSG00000112276",24,139,163,56,31,-115
"ENSG00000018408.15","ENSG00000018408",22,135,157,65,38,-113
"ENSG00000167281.19","ENSG00000167281",11,124,135,147,52,-113
"ENSG00000077157.22","ENSG00000077157",5,118,123,239,59,-113
"ENSG00000101335.10","ENSG00000101335",5,117,122,239,62,-112
"ENSG00000175084.12","ENSG00000175084",3,115,118,282,68,-112
"ENSG00000174099.12","ENSG00000174099",3,115,118,282,68,-112
"ENSG00000105974.13","ENSG00000105974",5,116,121,239,67,-111
"ENSG00000166963.13","ENSG00000166963",25,135,160,53,38,-110
"ENSG00000159176.14","ENSG00000159176",20,129,149,71,44,-109
"ENSG00000145936.9","ENSG00000145936",8,117,125,179,62,-109
"ENSG00000123570.4","ENSG00000123570",8,117,125,179,62,-109
"ENSG00000125868.16","ENSG00000125868",11,119,130,147,57,-108
"ENSG00000107796.13","ENSG00000107796",9,117,126,170,62,-108
"ENSG00000144891.18","ENSG00000144891",1,109,110,370,80,-108
"ENSG00000068615.19","ENSG00000068615",8,115,123,179,68,-107
"ENSG00000183963.19","ENSG00000183963",36,142,178,30,25,-106
"ENSG00000131711.15","ENSG00000131711",13,119,132,125,57,-106
"ENSG00000106772.18","ENSG00000106772",12,118,130,137,59,-106
"ENSG00000198838.14","ENSG00000198838",7,113,120,206,73,-106
"ENSG00000163431.13","ENSG00000163431",6,112,118,219,75,-106
"ENSG00000154553.16","ENSG00000154553",3,109,112,282,80,-106
"ENSG00000133392.18","ENSG00000133392",2,108,110,316,84,-106
"ENSG00000117013.17","ENSG00000117013",23,128,151,59,47,-105
"ENSG00000130176.8","ENSG00000130176",8,113,121,179,73,-105
"ENSG00000095303.17","ENSG00000095303",5,110,115,239,79,-105
"ENSG00000121075.11","ENSG00000121075",2,106,108,316,87,-104
"ENSG00000259291.2","ENSG00000259291",11,114,125,147,71,-103
"ENSG00000163710.9","ENSG00000163710",1,103,104,370,89,-102
"ENSG00000153814.13","ENSG00000153814",10,111,121,160,76,-101
"ENSG00000185532.20","ENSG00000185532",6,107,113,219,85,-101
"ENSG00000162614.19","ENSG00000162614",12,111,123,137,76,-99
"ENSG00000106034.18","ENSG00000106034",2,101,103,316,93,-99
"ENSG00000154556.18","ENSG00000154556",4,102,106,262,91,-98
"ENSG00000020577.14","ENSG00000020577",2,100,102,316,94,-98
"ENSG00000080854.16","ENSG00000080854",23,120,143,59,55,-97
"ENSG00000129116.19","ENSG00000129116",17,114,131,85,71,-97
"ENSG00000165995.22","ENSG00000165995",15,111,126,101,76,-96
"ENSG00000072952.19","ENSG00000072952",1,97,98,370,101,-96
"ENSG00000143772.9","ENSG00000143772",27,122,149,45,54,-95
"ENSG00000121440.15","ENSG00000121440",5,100,105,239,94,-95
"ENSG00000239474.7","ENSG00000239474",8,102,110,179,91,-94
"ENSG00000182534.13","ENSG00000182534",33,125,158,33,51,-92
"ENSG00000187239.17","ENSG00000187239",17,109,126,85,80,-92
"ENSG00000197361.8","ENSG00000197361",8,100,108,179,94,-92
"ENSG00000198467.16","ENSG00000198467",17,107,124,85,85,-90
"ENSG00000124212.6","ENSG00000124212",5,95,100,239,105,-90
"ENSG00000198523.6","ENSG00000198523",1,91,92,370,112,-90
"ENSG00000158104.11","ENSG00000158104",0,90,90,487,117,-90
"ENSG00000128591.16","ENSG00000128591",17,106,123,85,87,-89
"ENSG00000165996.14","ENSG00000165996",11,100,111,147,94,-89
"ENSG00000172403.11","ENSG00000172403",3,92,95,282,109,-89
"ENSG00000127328.22","ENSG00000127328",89,0,89,2,556,89
"ENSG00000101605.13","ENSG00000101605",8,96,104,179,102,-88
"ENSG00000197702.14","ENSG00000197702",8,96,104,179,102,-88
"ENSG00000187942.12","ENSG00000187942",2,89,91,316,119,-87
"ENSG00000125648.15","ENSG00000125648",14,100,114,114,94,-86
"ENSG00000165410.15","ENSG00000165410",49,134,183,17,41,-85
"ENSG00000158445.10","ENSG00000158445",18,103,121,79,89,-85
"ENSG00000165072.10","ENSG00000165072",12,96,108,137,102,-84
"ENSG00000077782.21","ENSG00000077782",7,91,98,206,112,-84
"ENSG00000134769.21","ENSG00000134769",26,109,135,49,80,-83
"ENSG00000167641.11","ENSG00000167641",12,95,107,137,105,-83
"ENSG00000263155.6","ENSG00000263155",6,89,95,219,119,-83
"ENSG00000148180.21","ENSG00000148180",0,83,83,487,128,-83
"ENSG00000070808.16","ENSG00000070808",8,90,98,179,117,-82
"ENSG00000165197.5","ENSG00000165197",1,83,84,370,128,-82
"ENSG00000253636.1","ENSG00000253636",6,87,93,219,124,-81
"ENSG00000127472.11","ENSG00000127472",3,84,87,282,127,-81
"ENSG00000121898.13","ENSG00000121898",15,95,110,101,105,-80
"ENSG00000151067.22","ENSG00000151067",14,93,107,114,108,-79
"ENSG00000068383.19","ENSG00000068383",4,83,87,262,128,-79
"ENSG00000255642.1","ENSG00000255642",0,79,79,487,134,-79
"ENSG00000170153.11","ENSG00000170153",14,92,106,114,109,-78
"ENSG00000164764.11","ENSG00000164764",13,91,104,125,112,-78
"ENSG00000095637.22","ENSG00000095637",8,86,94,179,125,-78
"ENSG00000138074.15","ENSG00000138074",83,5,88,4,355,78
"ENSG00000157110.16","ENSG00000157110",3,81,84,282,132,-78
"ENSG00000118407.15","ENSG00000118407",14,91,105,114,112,-77
"ENSG00000165424.7","ENSG00000165424",0,77,77,487,138,-77
"ENSG00000198932.13","ENSG00000198932",16,92,108,94,109,-76
