Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glycerolipid metabolism	2/61	0.005392708769751116	0.3062900379004006	0	0	19.845463609172484	103.6470509502107	DGKG;ALDH1B1
Phosphatidylinositol signaling system	2/97	0.01317601173015511	0.3062900379004006	0	0	12.302786377708978	53.263159193779046	DGKG;ITPR1
MAPK signaling pathway	3/294	0.015696387577119573	0.3062900379004006	0	0	6.145891908778506	25.532030460188007	MAP3K20;FLNA;MAPT
Vascular smooth muscle contraction	2/133	0.023858925519385177	0.3062900379004006	0	0	8.905702739110911	33.26811550930288	CALD1;ITPR1
Nitrogen metabolism	1/17	0.03017501197648502	0.3062900379004006	0	0	35.621428571428574	124.70139957851625	CA9
Pantothenate and CoA biosynthesis	1/21	0.03714532981270047	0.3062900379004006	0	0	28.49142857142857	93.81991597487813	ALDH1B1
Histidine metabolism	1/22	0.038880284957489374	0.3062900379004006	0	0	27.133333333333333	88.10920425980879	ALDH1B1
Proteoglycans in cancer	2/205	0.05245560008282946	0.3062900379004006	0	0	5.726166328600406	16.879525419643	ITPR1;FLNA
Ascorbate and aldarate metabolism	1/30	0.05265094136520382	0.3062900379004006	0	0	19.64039408866995	57.82271782479102	ALDH1B1
beta-Alanine metabolism	1/30	0.05265094136520382	0.3062900379004006	0	0	19.64039408866995	57.82271782479102	ALDH1B1
Tryptophan metabolism	1/42	0.07294793942574992	0.3062900379004006	0	0	13.883623693379791	36.34745526394495	ALDH1B1
Parkinson disease	2/249	0.07377779189830129	0.3062900379004006	0	0	4.695641819480829	12.24011786428052	ITPR1;MAPT
Fatty acid degradation	1/43	0.07462014149992705	0.3062900379004006	0	0	13.552380952380952	35.173101634547834	ALDH1B1
Pyruvate metabolism	1/47	0.08127967357922959	0.3062900379004006	0	0	12.371428571428572	31.050545192395425	ALDH1B1
Valine, leucine and isoleucine degradation	1/48	0.08293726244296368	0.3062900379004006	0	0	12.10759878419453	30.143935528683446	ALDH1B1
Arginine and proline metabolism	1/50	0.08624372197430759	0.3062900379004006	0	0	11.612244897959183	28.456712045041098	ALDH1B1
Long-term depression	1/60	0.10260293748639536	0.3062900379004006	0	0	9.639225181598063	21.947443048733657	ITPR1
Lysine degradation	1/63	0.10745492813475709	0.3062900379004006	0	0	9.17142857142857	20.45855706834833	ALDH1B1
GnRH secretion	1/64	0.10906658334354884	0.3062900379004006	0	0	9.025396825396825	19.998444744570275	ITPR1
Cortisol synthesis and secretion	1/65	0.11067540915327527	0.3062900379004006	0	0	8.883928571428571	19.554891388067777	ITPR1
Long-term potentiation	1/67	0.11388459174369708	0.3062900379004006	0	0	8.613852813852814	18.71419559338997	ITPR1
Glycolysis / Gluconeogenesis	1/67	0.11388459174369708	0.3062900379004006	0	0	8.613852813852814	18.71419559338997	ALDH1B1
Renin secretion	1/69	0.11708251441891135	0.3062900379004006	0	0	8.359663865546219	17.930445246544526	ITPR1
Thyroid hormone synthesis	1/75	0.12660910599668915	0.3062900379004006	0	0	7.67953667953668	15.870920964553154	ITPR1
Gastric acid secretion	1/76	0.12818712475971267	0.3062900379004006	0	0	7.576761904761905	15.564670508835613	ITPR1
Alzheimer disease	2/369	0.1422621843731393	0.3062900379004006	0	0	3.1410482449110435	6.125306527861486	ITPR1;MAPT
Cardiac muscle contraction	1/87	0.14536341248271906	0.3062900379004006	0	0	6.603986710963455	12.735909747369945	TPM1
Gap junction	1/88	0.1469084770858721	0.3062900379004006	0	0	6.527750410509031	12.51986946595007	ITPR1
Hypertrophic cardiomyopathy	1/90	0.1499904635419038	0.3062900379004006	0	0	6.380417335473515	12.10482289581807	TPM1
Salivary secretion	1/93	0.15459315573462507	0.3062900379004006	0	0	6.171428571428572	11.521800501573537	ITPR1
GnRH signaling pathway	1/93	0.15459315573462507	0.3062900379004006	0	0	6.171428571428572	11.521800501573537	ITPR1
Dilated cardiomyopathy	1/96	0.15917161362853124	0.3062900379004006	0	0	5.975639097744361	10.981864174896383	TPM1
Circadian entrainment	1/97	0.16069240232057513	0.3062900379004006	0	0	5.913095238095238	10.810694930482056	ITPR1
Aldosterone synthesis and secretion	1/98	0.16221051665136102	0.3062900379004006	0	0	5.851840942562592	10.643681183156218	ITPR1
Inflammatory mediator regulation of TRP channels	1/98	0.16221051665136102	0.3062900379004006	0	0	5.851840942562592	10.643681183156218	ITPR1
Choline metabolism in cancer	1/98	0.16221051665136102	0.3062900379004006	0	0	5.851840942562592	10.643681183156218	DGKG
Glycerophospholipid metabolism	1/98	0.16221051665136102	0.3062900379004006	0	0	5.851840942562592	10.643681183156218	DGKG
Pancreatic secretion	1/102	0.1682563218331979	0.3062900379004006	0	0	5.618953323903819	10.014473606609219	ITPR1
C-type lectin receptor signaling pathway	1/104	0.17126329677716243	0.3062900379004006	0	0	5.509292649098474	9.721439750246084	ITPR1
Parathyroid hormone synthesis, secretion and action	1/106	0.17425970165143273	0.3062900379004006	0	0	5.403809523809524	9.441582225640868	ITPR1
Glucagon signaling pathway	1/107	0.17575395157449714	0.3062900379004006	0	0	5.35256064690027	9.306338035584416	ITPR1
Serotonergic synapse	1/113	0.1846643992267715	0.3062900379004006	0	0	5.064285714285714	8.554668200781553	ITPR1
Cholinergic synapse	1/113	0.1846643992267715	0.3062900379004006	0	0	5.064285714285714	8.554668200781553	ITPR1
Glutamatergic synapse	1/114	0.18614034025493514	0.3062900379004006	0	0	5.019216182048041	8.438579151459255	ITPR1
Growth hormone synthesis, secretion and action	1/119	0.19348116875920365	0.3062900379004006	0	0	4.805326876513317	7.893110228215557	ITPR1
Platelet activation	1/124	0.20075760775244536	0.3062900379004006	0	0	4.608826945412312	7.400195385984942	ITPR1
Oocyte meiosis	1/129	0.20797020604342817	0.3062900379004006	0	0	4.427678571428571	6.953051312628677	ITPR1
Pathways of neurodegeneration	2/475	0.2103850331505826	0.3062900379004006	0	0	2.4239522447456783	3.7784953868845115	ITPR1;MAPT
Dopaminergic synapse	1/132	0.21226734804107084	0.3062900379004006	0	0	4.325627044711014	6.704327089616511	ITPR1
Apelin signaling pathway	1/137	0.21937893133793554	0.3062900379004006	0	0	4.165546218487395	6.318945182020532	ITPR1
Autophagy	1/137	0.21937893133793554	0.3062900379004006	0	0	4.165546218487395	6.318945182020532	ITPR1
Estrogen signaling pathway	1/137	0.21937893133793554	0.3062900379004006	0	0	4.165546218487395	6.318945182020532	ITPR1
Apoptosis	1/142	0.22642807953361954	0.3062900379004006	0	0	4.016818642350557	5.966292855501765	ITPR1
Spinocerebellar ataxia	1/143	0.22783046392268444	0.3062900379004006	0	0	3.9883299798792757	5.899352272449898	ITPR1
Cell adhesion molecules	1/148	0.2348053927265232	0.3062900379004006	0	0	3.851700680272109	5.581107444989292	CNTN1
Phospholipase D signaling pathway	1/148	0.2348053927265232	0.3062900379004006	0	0	3.851700680272109	5.581107444989292	DGKG
