Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Myogenesis	3/200	0.005517288559721188	0.04137966419790891	0	0	9.121827411167512	47.43230522818489	SVIL;SMTN;DMPK
Epithelial Mesenchymal Transition	3/200	0.005517288559721188	0.04137966419790891	0	0	9.121827411167512	47.43230522818489	CALD1;TPM1;FLNA
Estrogen Response Early	2/200	0.05019950084615693	0.1882481281730885	0	0	5.872251931075461	17.568310863627904	SVIL;MAPT
Apical Junction	2/200	0.05019950084615693	0.1882481281730885	0	0	5.872251931075461	17.568310863627904	MAP3K20;CNTN1
Cholesterol Homeostasis	1/74	0.12502831044307816	0.3038080819844295	0	0	7.785127201565558	16.186953906631256	NIBAN1
Mitotic Spindle	1/199	0.3025400389917896	0.3038080819844295	0	0	2.8522366522366522	3.409967713310379	FLNA
IL-2/STAT5 Signaling	1/199	0.3025400389917896	0.3038080819844295	0	0	2.8522366522366522	3.409967713310379	NCS1
Hypoxia	1/200	0.3038080819844295	0.3038080819844295	0	0	2.8377602297200286	3.380791434126185	CAVIN1
G2-M Checkpoint	1/200	0.3038080819844295	0.3038080819844295	0	0	2.8377602297200286	3.380791434126185	MAP3K20
heme Metabolism	1/200	0.3038080819844295	0.3038080819844295	0	0	2.8377602297200286	3.380791434126185	TNS1
Adipogenesis	1/200	0.3038080819844295	0.3038080819844295	0	0	2.8377602297200286	3.380791434126185	CAVIN1
Estrogen Response Late	1/200	0.3038080819844295	0.3038080819844295	0	0	2.8377602297200286	3.380791434126185	MAPT
Allograft Rejection	1/200	0.3038080819844295	0.3038080819844295	0	0	2.8377602297200286	3.380791434126185	FLNA
Complement	1/200	0.3038080819844295	0.3038080819844295	0	0	2.8377602297200286	3.380791434126185	DGKG
mTORC1 Signaling	1/200	0.3038080819844295	0.3038080819844295	0	0	2.8377602297200286	3.380791434126185	NIBAN1
