Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Muscle Contraction	4/204	4.793991094820074E-4	0.06615707710851702	0	0	12.3525	94.40987454787246	DMPK;CALD1;TPM1;ITPR1
Effects of PIP2 Hydrolysis	2/27	0.00107481003215652	0.07416189221879987	0	0	46.91529411764706	320.6947168320981	DGKG;ITPR1
Smooth Muscle Contraction	2/44	0.0028416743909962	0.1307170219858252	0	0	27.901960784313726	163.5992917401365	CALD1;TPM1
Ion Homeostasis	2/54	0.004250329791188123	0.14663637779599023	0	0	22.524886877828056	123.00297201006306	DMPK;ITPR1
Platelet Activation, Signaling and Aggregation	3/262	0.011537253994603027	0.15269411116344367	0	0	6.916461916461916	30.862456546866337	DGKG;ITPR1;FLNA
Neurofascin Interactions	1/7	0.012533916617468993	0.15269411116344367	0	0	95.03809523809524	416.20194419543344	CNTN1
Defective CHST14 Causes EDS, Musculocontractural Type	1/8	0.014311968554805366	0.15269411116344367	0	0	81.45714285714286	345.92071940977723	CSPG4
Defective CHST3 Causes SEDCJD	1/8	0.014311968554805366	0.15269411116344367	0	0	81.45714285714286	345.92071940977723	CSPG4
Defective CHSY1 Causes TPBS	1/8	0.014311968554805366	0.15269411116344367	0	0	81.45714285714286	345.92071940977723	CSPG4
Myoclonic Epilepsy of Lafora	1/9	0.016086908285246115	0.15269411116344367	0	0	71.27142857142857	294.3331456349383	EPM2A
OAS Antiviral Response	1/11	0.01962747193991364	0.15269411116344367	0	0	57.011428571428574	224.10195239289595	FLNA
Dermatan Sulfate Biosynthesis	1/11	0.01962747193991364	0.15269411116344367	0	0	57.011428571428574	224.10195239289595	CSPG4
CLEC7A (Dectin-1) Induces NFAT Activation	1/11	0.01962747193991364	0.15269411116344367	0	0	57.011428571428574	224.10195239289595	ITPR1
Regulation of Gene Expression by Hypoxia-inducible Factor	1/11	0.01962747193991364	0.15269411116344367	0	0	57.011428571428574	224.10195239289595	CA9
Ethanol Oxidation	1/12	0.021393106288118857	0.15269411116344367	0	0	51.82597402597403	199.25462501506232	ALDH1B1
Reversible Hydration of Carbon Dioxide	1/12	0.021393106288118857	0.15269411116344367	0	0	51.82597402597403	199.25462501506232	CA9
GP1b-IX-V Activation Signalling	1/12	0.021393106288118857	0.15269411116344367	0	0	51.82597402597403	199.25462501506232	FLNA
Caspase-mediated Cleavage of Cytoskeletal Proteins	1/12	0.021393106288118857	0.15269411116344367	0	0	51.82597402597403	199.25462501506232	MAPT
Cardiac Conduction	2/130	0.02286732308217719	0.15269411116344367	0	0	9.115808823529411	34.4399480443974	DMPK;ITPR1
Glycogen Synthesis	1/14	0.024915106126970902	0.15269411116344367	0	0	43.848351648351645	161.9004351330391	EPM2A
CS DS Degradation	1/14	0.024915106126970902	0.15269411116344367	0	0	43.848351648351645	161.9004351330391	CSPG4
Elevation of Cytosolic Ca2+ Levels	1/16	0.028424782266975358	0.15269411116344367	0	0	37.99809523809524	135.29198627979454	ITPR1
cGMP Effects	1/16	0.028424782266975358	0.15269411116344367	0	0	37.99809523809524	135.29198627979454	ITPR1
Glycogen Storage Diseases	1/16	0.028424782266975358	0.15269411116344367	0	0	37.99809523809524	135.29198627979454	EPM2A
Cell-extracellular Matrix Interactions	1/18	0.03192217639649051	0.15269411116344367	0	0	33.52436974789916	115.47316040046559	FLNA
Antiviral Mechanism by IFN-stimulated Genes	2/158	0.032783850710532025	0.15269411116344367	0	0	7.469079939668175	25.527965132049008	FLNA;MAPT
VEGFR2 Mediated Cell Proliferation	1/19	0.0336662807139245	0.15269411116344367	0	0	31.66031746031746	107.36832116912788	ITPR1
Chondroitin Sulfate Biosynthesis	1/20	0.0354073301248565	0.15269411116344367	0	0	29.992481203007518	100.19997336732251	CSPG4
Defective B3GALT6 Causes EDSP2 and SEMDJL1	1/20	0.0354073301248565	0.15269411116344367	0	0	29.992481203007518	100.19997336732251	CSPG4
Defective B3GAT3 Causes JDSSDHD	1/20	0.0354073301248565	0.15269411116344367	0	0	29.992481203007518	100.19997336732251	CSPG4
Defective B4GALT7 Causes EDS, Progeroid Type	1/20	0.0354073301248565	0.15269411116344367	0	0	29.992481203007518	100.19997336732251	CSPG4
Signaling by Hippo	1/20	0.0354073301248565	0.15269411116344367	0	0	29.992481203007518	100.19997336732251	AMOTL1
RHO GTPases Activate PAKs	1/21	0.03714532981270047	0.15533501558038376	0	0	28.49142857142857	93.81991597487813	FLNA
Nitric Oxide Stimulates Guanylate Cyclase	1/23	0.040612200720739566	0.16483775586653118	0	0	25.898701298701297	82.97132611919092	ITPR1
NOTCH2 Activation and Transmission of Signal to the Nucleus	1/25	0.044066934781374086	0.16892324999526734	0	0	23.738095238095237	74.11141474490151	CNTN1
Glycogen Metabolism	1/25	0.044066934781374086	0.16892324999526734	0	0	23.738095238095237	74.11141474490151	EPM2A
A Tetrasaccharide Linker Sequence Is Required for GAG Synthesis	1/26	0.04578976337343589	0.17078344177119334	0	0	22.78742857142857	70.2694731674912	CSPG4
Activation of AMPK Downstream of NMDARs	1/28	0.04922636939208551	0.17418561477199487	0	0	21.097354497354498	63.53100866506492	MAPT
Platelet Calcium Homeostasis	1/28	0.04922636939208551	0.17418561477199487	0	0	21.097354497354498	63.53100866506492	ITPR1
Activated NOTCH1 Transmits Signal to the Nucleus	1/31	0.05435872736369502	0.18753760940474784	0	0	18.984761904761903	55.2864763029152	CNTN1
G Alpha (Q) Signalling Events	2/219	0.05896200051367535	0.19538219602256338	0	0	5.352941176470588	15.15343830889562	DGKG;ITPR1
Diseases of Carbohydrate Metabolism	1/34	0.05946414661556277	0.19538219602256338	0	0	17.256277056277057	48.70380102145059	EPM2A
Signaling by NOTCH2	1/36	0.06285286131436205	0.19712942866777186	0	0	16.268571428571427	45.01446718516486	CNTN1
Striated Muscle Contraction	1/36	0.06285286131436205	0.19712942866777186	0	0	16.268571428571427	45.01446718516486	TPM1
Apoptotic Cleavage of Cellular Proteins	1/38	0.06622970478202725	0.2031044279982169	0	0	15.387644787644788	41.77170375778716	MAPT
DAG and IP3 Signaling	1/41	0.071272799727047	0.2054452171582345	0	0	14.231428571428571	37.58862572708161	ITPR1
Diseases Associated With Glycosaminoglycan Metabolism	1/41	0.071272799727047	0.2054452171582345	0	0	14.231428571428571	37.58862572708161	CSPG4
RHOF GTPase Cycle	1/42	0.07294793942574992	0.2054452171582345	0	0	13.883623693379791	36.34745526394495	MCAM
Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion	1/42	0.07294793942574992	0.2054452171582345	0	0	13.883623693379791	36.34745526394495	ITPR1
Diseases of Metabolism	2/264	0.08159345453697019	0.2251979345220377	0	0	4.423439604849573	11.085167226524366	EPM2A;CSPG4
PLC Beta Mediated Events	1/49	0.08459194359992496	0.22873969836874225	0	0	11.854761904761904	29.280269023639796	ITPR1
Chondroitin Sulfate Dermatan Sulfate Metabolism	1/50	0.08624372197430759	0.22873969836874225	0	0	11.612244897959183	28.456712045041098	CSPG4
Apoptotic Execution Phase	1/52	0.0895385901937681	0.22873969836874225	0	0	11.155742296918767	26.919760773627658	MAPT
Interferon Signaling	2/280	0.0902017102090219	0.22873969836874225	0	0	4.16546762589928	10.020894175631343	FLNA;MAPT
RHOD GTPase Cycle	1/53	0.09118168990618711	0.22873969836874225	0	0	10.94065934065934	26.201797862420793	MCAM
G-protein Mediated Events	1/54	0.09282190658441714	0.22873969836874225	0	0	10.733692722371968	25.514766917792368	ITPR1
Metabolism of Carbohydrates	2/290	0.09571479362363976	0.2317305529835489	0	0	4.018790849673203	9.429620155729717	EPM2A;CSPG4
Heparan Sulfate Heparin (HS-GAG) Metabolism	1/57	0.0977253074956695	0.23251883507590332	0	0	10.157142857142857	23.62139780665354	CSPG4
Cellular Response to Hypoxia	1/62	0.10584043864033445	0.24714633470994127	0	0	9.322248243559718	20.936115926277918	CA9
Ca2+ Pathway	1/63	0.10745492813475709	0.24714633470994127	0	0	9.17142857142857	20.45855706834833	ITPR1
RHOB GTPase Cycle	1/70	0.11867726526877864	0.2684829935588763	0	0	8.238095238095237	17.55824391062889	MCAM
RHOC GTPase Cycle	1/74	0.12502831044307816	0.2695922943928873	0	0	7.785127201565558	16.186953906631256	MCAM
RHOG GTPase Cycle	1/74	0.12502831044307816	0.2695922943928873	0	0	7.785127201565558	16.186953906631256	MCAM
Signaling by NOTCH1	1/74	0.12502831044307816	0.2695922943928873	0	0	7.785127201565558	16.186953906631256	CNTN1
Regulation of Insulin Secretion	1/78	0.13133485086165267	0.27289809802399356	0	0	7.37922077922078	14.97985584266697	ITPR1
Hemostasis	3/707	0.13344011828336802	0.27289809802399356	0	0	2.487086776859504	5.0092475804741605	DGKG;ITPR1;FLNA
PKR-mediated Signaling	1/80	0.13447152656254757	0.27289809802399356	0	0	7.191681735985534	14.42941037733673	MAPT
Post NMDA Receptor Activation Events	1/80	0.13447152656254757	0.27289809802399356	0	0	7.191681735985534	14.42941037733673	MAPT
Regulation of HSF1-mediated Heat Shock Response	1/83	0.13915590296892433	0.27831180593784866	0	0	6.927526132404181	13.662192502450985	BAG2
CLEC7A (Dectin-1) Signaling	1/87	0.14536341248271906	0.2815745810812549	0	0	6.603986710963455	12.735909747369945	ITPR1
Platelet Homeostasis	1/87	0.14536341248271906	0.2815745810812549	0	0	6.603986710963455	12.735909747369945	ITPR1
RAC2 GTPase Cycle	1/88	0.1469084770858721	0.2815745810812549	0	0	6.527750410509031	12.51986946595007	MCAM
Opioid Signalling	1/90	0.1499904635419038	0.28354361601072225	0	0	6.380417335473515	12.10482289581807	ITPR1
Activation of NMDA Receptors and Postsynaptic Events	1/93	0.15459315573462507	0.2862558441325655	0	0	6.171428571428572	11.521800501573537	MAPT
RAC3 GTPase Cycle	1/94	0.15612199492849957	0.2862558441325655	0	0	6.104761904761904	11.33726052426851	MCAM
Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers	1/95	0.15764814604402158	0.2862558441325655	0	0	6.03951367781155	11.157335077597404	ITPR1
Mitochondrial Protein Degradation	1/97	0.16069240232057513	0.28799417558752427	0	0	5.913095238095238	10.810694930482056	ALDH1B1
VEGFA-VEGFR2 Pathway	1/99	0.16372596120984984	0.2896690082943497	0	0	5.791836734693877	10.48068313038553	ITPR1
Cellular Response to Heat Stress	1/101	0.1667488592559496	0.2912828174344436	0	0	5.675428571428571	10.1662047056792	BAG2
Phase I - Functionalization of Compounds	1/105	0.17276281821025566	0.2946974578922867	0	0	5.456043956043956	9.579916312265498	ALDH1B1
Role of Phospholipids in Phagocytosis	1/107	0.17575395157449714	0.2946974578922867	0	0	5.35256064690027	9.306338035584416	ITPR1
Integration of Energy Metabolism	1/108	0.1772455725004333	0.2946974578922867	0	0	5.302269692923899	9.174088257462778	ITPR1
Signaling by VEGF	1/108	0.1772455725004333	0.2946974578922867	0	0	5.302269692923899	9.174088257462778	ITPR1
FCERI Mediated Ca+2 Mobilization	1/110	0.18022094533098648	0.29607726732947776	0	0	5.204456094364351	8.918208712384002	ITPR1
Cell Junction Organization	1/119	0.19348116875920365	0.31153014663990153	0	0	4.805326876513317	7.893110228215557	FLNA
L1CAM Interactions	1/120	0.19494159009588247	0.31153014663990153	0	0	4.764705882352941	7.790557621409014	CNTN1
FCGR3A-mediated IL10 Synthesis	1/121	0.1963994402729814	0.31153014663990153	0	0	4.7247619047619045	7.690044838487323	ITPR1
Glycosaminoglycan Metabolism	1/127	0.20509279269101896	0.3202418192079362	0	0	4.498412698412698	7.126802647024788	CSPG4
Platelet Degranulation	1/128	0.20653276746019075	0.3202418192079362	0	0	4.4627671541057365	7.039105669080527	FLNA
C-type Lectin Receptors (CLRs)	1/131	0.21083749200989477	0.32267926176811457	0	0	4.359120879120879	6.785702334197538	ITPR1
Response to Elevated Platelet Cytosolic Ca2+	1/133	0.21369468521530935	0.32267926176811457	0	0	4.292640692640693	6.624433110738544	FLNA
Beta-catenin Independent WNT Signaling	1/134	0.21511950784540973	0.32267926176811457	0	0	4.260150375939849	6.545983285499286	ITPR1
Diseases of Glycosylation	1/146	0.23202280293547273	0.3442919011300563	0	0	3.9052216748768473	5.705214979456153	CSPG4
RHOA GTPase Cycle	1/149	0.23619300941282456	0.34675143935074243	0	0	3.8254826254826253	5.5205768214974436	MCAM
Cell-Cell Communication	1/157	0.24720621794739253	0.3555780623899148	0	0	3.627838827838828	5.0700223046303945	FLNA
Anti-inflammatory Response Favouring Leishmania Parasite Infection	1/159	0.2499353047233459	0.3555780623899148	0	0	3.5815551537070522	4.966016672374933	ITPR1
Leishmania Parasite Growth and Survival	1/159	0.2499353047233459	0.3555780623899148	0	0	3.5815551537070522	4.966016672374933	ITPR1
Signaling by the B Cell Receptor (BCR)	1/162	0.25401090801691445	0.35768882965647136	0	0	3.5142857142857142	4.815900067322253	ITPR1
Fcgamma Receptor (FCGR) Dependent Phagocytosis	1/168	0.26209762439705164	0.36169472166793126	0	0	3.3869974337040207	4.535319056842308	ITPR1
Apoptosis	1/168	0.26209762439705164	0.36169472166793126	0	0	3.3869974337040207	4.535319056842308	MAPT
RAC1 GTPase Cycle	1/184	0.2832477778031334	0.3870118152161625	0	0	3.0883684621389538	3.895770587516568	MCAM
Fc Epsilon Receptor (FCERI) Signaling	1/197	0.2999972130793481	0.405878582401471	0	0	2.8816326530612244	3.4694341160728244	ITPR1
Programmed Cell Death	1/202	0.30633744738975655	0.40983064530443936	0	0	2.809239516702203	3.3235214197674976	MAPT
Neurotransmitter Receptors and Postsynaptic Signal Transmission	1/204	0.3088578776207369	0.40983064530443936	0	0	2.78128078817734	3.26765462620049	MAPT
Signaling by NOTCH	1/209	0.3151200626051619	0.4116563701190611	0	0	2.713736263736264	3.133826875265196	CNTN1
GPCR Downstream Signalling	2/633	0.31619982052623535	0.4116563701190611	0	0	1.802274634100867	2.0751046295525724	DGKG;ITPR1
Signal Transduction	6/2613	0.3280372236312296	0.42307604543093164	0	0	1.3315688530878405	1.484204181052435	DGKG;MCAM;ITPR1;CNTN1;FLNA;AMOTL1
Biological Oxidations	1/222	0.33114469171379723	0.4231293283009631	0	0	2.5524240465416934	2.820938709194433	ALDH1B1
Signaling by Rho GTPases	2/672	0.3421707816140085	0.4332070446122309	0	0	1.6939420544337138	1.8166602034134423	MCAM;FLNA
Neddylation	1/234	0.345612718195468	0.43358686464522356	0	0	2.4194972409564683	2.570562041066897	ASB2
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	2/688	0.3527516094038129	0.43410378333176136	0	0	1.653061224489796	1.7224751263403437	MCAM;FLNA
Metabolism	5/2181	0.35555261568358415	0.43410378333176136	0	0	1.3184890891840608	1.3634258817274345	EPM2A;ALDH1B1;ITPR1;CA9;CSPG4
Leishmania Infection	1/245	0.35860747318710723	0.43410378333176136	0	0	2.309133489461358	2.3680784586353543	ITPR1
Parasitic Infection Pathways	1/245	0.35860747318710723	0.43410378333176136	0	0	2.309133489461358	2.3680784586353543	ITPR1
Signaling by GPCR	2/706	0.3645927041566092	0.43751124498793104	0	0	1.6092914438502675	1.6237339132059632	DGKG;ITPR1
Transmission Across Chemical Synapses	1/269	0.38609479723565837	0.4593196725734557	0	0	2.0997867803837953	1.9983090218358728	MAPT
Signaling by WNT	1/287	0.40595523247658055	0.47543446555646796	0	0	1.9658341658341658	1.7722238577667548	ITPR1
Cytokine Signaling in Immune System	2/776	0.409877493289921	0.47543446555646796	0	0	1.4584283325733394	1.3007677973468055	FLNA;MAPT
RHO GTPase Effectors	1/291	0.41028307301462885	0.47543446555646796	0	0	1.9383251231527094	1.7268692338509994	FLNA
Antigen Processing Ubiquitination & Proteasome Degradation	1/296	0.4156497822279087	0.47543446555646796	0	0	1.9049878934624698	1.6724121943166845	ASB2
Cellular Responses to Stress	2/787	0.4168664516835697	0.47543446555646796	0	0	1.4371674784563506	1.2575062640138923	BAG2;CA9
G Alpha (I) Signalling Events	1/316	0.4366457351903287	0.49391074964151926	0	0	1.7822222222222222	1.4768083022236373	ITPR1
Intracellular Signaling by Second Messengers	1/321	0.4417790190857962	0.4956545092182104	0	0	1.7539285714285715	1.432864016468471	ITPR1
Adaptive Immune System	2/854	0.45856640855625297	0.5103400353287331	0	0	1.31952499309583	1.0287678707335237	ITPR1;ASB2
Cellular Responses to Stimuli	2/887	0.4785091430817063	0.5282740939622038	0	0	1.2681289464938519	0.9347124337562548	BAG2;CA9
Class I MHC Mediated Antigen Processing & Presentation	1/373	0.49254019709803754	0.5394487872978507	0	0	1.5047619047619047	1.0656410867612713	ASB2
Neuronal System	1/411	0.5267670029690088	0.5723924914151435	0	0	1.3626480836236934	0.8734532625390198	MAPT
Immune System	4/2150	0.5508847574432696	0.593922629118525	0	0	1.037861136999068	0.6188035755598701	ITPR1;FLNA;MAPT;ASB2
RHO GTPase Cycle	1/450	0.5595576805590823	0.5985965885050647	0	0	1.2418071905822463	0.7210040132463585	MCAM
Signaling by Receptor Tyrosine Kinases	1/536	0.624249670762326	0.6612539289956386	0	0	1.0375967957276369	0.48892067075085965	ITPR1
Axon Guidance	1/541	0.6277120630320917	0.6612539289956386	0	0	1.0277248677248678	0.47858445819239925	CNTN1
Nervous System Development	1/567	0.6452224121778265	0.674550703640455	0	0	0.9792024230186774	0.42904752612521424	CNTN1
Disease	3/2131	0.7533988226614999	0.7817220866713308	0	0	0.7619617224880383	0.21575749769528887	EPM2A;ITPR1;CSPG4
Innate Immune System	1/1149	0.8813880910493418	0.9076981833194715	0	0	0.4682926829268293	0.05912534075407214	ITPR1
Metabolism of Proteins	2/2067	0.8987723416582393	0.9187450603617556	0	0	0.5098703888334996	0.054416178131250784	ALDH1B1;ASB2
Infectious Disease	1/1311	0.9130909752724855	0.926518783732375	0	0	0.4068484187568157	0.036990560191939366	ITPR1
Developmental Biology	1/1385	0.9246680505958855	0.9314174524250527	0	0	0.38356729975227083	0.030041171230645723	CNTN1
