Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MFAP5 Effect On Permeability And Motility Of Endothelial Cells WP4560	2/18	4.7330062752558495E-4	0.026031534513907172	0	0	73.33823529411765	561.461379980425	ITPR1;LPP
MAPK Signaling WP382	3/246	0.009731545480958026	0.14010129857736534	0	0	7.377852600074823	34.17703570532795	MAP3K20;FLNA;MAPT
Androgen Receptor Signaling WP138	2/87	0.010706229343803296	0.14010129857736534	0	0	13.757093425605536	62.41496334428567	TGFB1I1;FLNA
Inclusion Body Myositis WP5120	1/11	0.01962747193991364	0.14010129857736534	0	0	57.011428571428574	224.10195239289595	MAPT
NPHP1 Deletion Syndrome WP5399	1/11	0.01962747193991364	0.14010129857736534	0	0	57.011428571428574	224.10195239289595	FLNA
Serotonin Transporter Activity WP1455	1/11	0.01962747193991364	0.14010129857736534	0	0	57.011428571428574	224.10195239289595	TGFB1I1
Cell Type Dependent Selectivity Of CCK2R Signaling WP3679	1/13	0.02315564927877951	0.14010129857736534	0	0	47.50476190476191	178.87996472866277	ITPR1
Cell Lineage Map For Neuronal Differentiation WP5417	2/132	0.023526435576119244	0.14010129857736534	0	0	8.974660633484163	33.651661884148766	TPM1;CSPG4
Involvement Of Secretase In Neurodegenerative Diseases WP5372	1/17	0.03017501197648502	0.14010129857736534	0	0	35.621428571428574	124.70139957851625	MAPT
Congenital Generalized Lipodystrophy WP5101	1/18	0.03192217639649051	0.14010129857736534	0	0	33.52436974789916	115.47316040046559	CAVIN1
Myometrial Relaxation And Contraction Pathways WP289	2/156	0.032027867169825835	0.14010129857736534	0	0	7.566844919786096	26.038640118307836	CALD1;ITPR1
KCNQ2 Related Epilepsies WP5360	1/19	0.0336662807139245	0.14010129857736534	0	0	31.66031746031746	107.36832116912788	ITPR1
Serotonin Receptor 2 And ELK SRF GATA4 Signaling WP732	1/20	0.0354073301248565	0.14010129857736534	0	0	29.992481203007518	100.19997336732251	ITPR1
STING Pathway In Kawasaki Like Disease And COVID 19 WP4961	1/21	0.03714532981270047	0.14010129857736534	0	0	28.49142857142857	93.81991597487813	ITPR1
PKC Gamma Calcium Signaling In Ataxia WP4760	1/22	0.038880284957489374	0.14010129857736534	0	0	27.133333333333333	88.10920425980879	ITPR1
Hypothesized Pathways In Pathogenesis Of Cardiovascular Disease WP3668	1/25	0.044066934781374086	0.14010129857736534	0	0	23.738095238095237	74.11141474490151	FLNA
Vitamin D Receptor Pathway WP2877	2/186	0.04408108798499624	0.14010129857736534	0	0	6.323529411764706	19.74031626362245	TPM1;CA9
GPR143 In Melanocytes And Retinal Pigment Epithelium Cells WP4941	1/30	0.05265094136520382	0.14010129857736534	0	0	19.64039408866995	57.82271782479102	ITPR1
Monoamine Transport WP727	1/32	0.05606352017913235	0.14010129857736534	0	0	18.37142857142857	52.93304493727771	TGFB1I1
Type I Collagen Synthesis Osteogenesis Imperfecta WP4786	1/33	0.05776532490445594	0.14010129857736534	0	0	17.79642857142857	50.744142000677016	ITPR1
Resistin As A Regulator Of Inflammation WP4481	1/33	0.05776532490445594	0.14010129857736534	0	0	17.79642857142857	50.744142000677016	ITPR1
Vitamin D Sensitive Calcium Signaling In Depression WP4698	1/36	0.06285286131436205	0.14010129857736534	0	0	16.268571428571427	45.01446718516486	ITPR1
