"ensembl_gene_id","hgnc_symbol","description"
"ENSG00000018236","CNTN1","contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]"
"ENSG00000053438","NNAT","neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]"
"ENSG00000058866","DGKG","diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]"
"ENSG00000076706","MCAM","melanoma cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6934]"
"ENSG00000079308","TNS1","tensin 1 [Source:HGNC Symbol;Acc:HGNC:11973]"
"ENSG00000091436","MAP3K20","mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]"
"ENSG00000100628","ASB2","ankyrin repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:16012]"
"ENSG00000104936","DMPK","DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]"
"ENSG00000107130","NCS1","neuronal calcium sensor 1 [Source:HGNC Symbol;Acc:HGNC:3953]"
"ENSG00000107159","CA9","carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383]"
"ENSG00000111696","NT5DC3","5'-nucleotidase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30826]"
"ENSG00000112208","BAG2","BAG cochaperone 2 [Source:HGNC Symbol;Acc:HGNC:938]"
"ENSG00000112425","EPM2A","EPM2A glucan phosphatase, laforin [Source:HGNC Symbol;Acc:HGNC:3413]"
"ENSG00000122786","CALD1","caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]"
"ENSG00000123119","NECAB1","N-terminal EF-hand calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20983]"
"ENSG00000135842","NIBAN1","niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]"
"ENSG00000137124","ALDH1B1","aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]"
"ENSG00000140416","TPM1","tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]"
"ENSG00000140682","TGFB1I1","transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]"
"ENSG00000145012","LPP","LIM domain containing preferred translocation partner in lipoma [Source:HGNC Symbol;Acc:HGNC:6679]"
"ENSG00000148411","NACC2","NACC family member 2 [Source:HGNC Symbol;Acc:HGNC:23846]"
"ENSG00000150995","ITPR1","inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]"
"ENSG00000153179","RASSF3","Ras association domain family member 3 [Source:HGNC Symbol;Acc:HGNC:14271]"
"ENSG00000157570","TSPAN18","tetraspanin 18 [Source:HGNC Symbol;Acc:HGNC:20660]"
"ENSG00000163681","SLMAP","sarcolemma associated protein [Source:HGNC Symbol;Acc:HGNC:16643]"
"ENSG00000166025","AMOTL1","angiomotin like 1 [Source:HGNC Symbol;Acc:HGNC:17811]"
"ENSG00000166831","RBPMS2","RNA binding protein, mRNA processing factor 2 [Source:HGNC Symbol;Acc:HGNC:19098]"
"ENSG00000169504","CLIC4","chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]"
"ENSG00000173546","CSPG4","chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]"
"ENSG00000177469","CAVIN1","caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]"
"ENSG00000183963","SMTN","smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]"
"ENSG00000186868","MAPT","microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]"
"ENSG00000196924","FLNA","filamin A [Source:HGNC Symbol;Acc:HGNC:3754]"
"ENSG00000197256","KANK2","KN motif and ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:29300]"
"ENSG00000197321","SVIL","supervillin [Source:HGNC Symbol;Acc:HGNC:11480]"
"ENSG00000198624","CCDC69","coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]"
